148
0	1	0
2	3	1
4	5	2
6	7	3
8	9	3
10	11	3
12	13	4
14	15	3
16	17	3
18	19	5
20	21	6
22	23	2
24	25	4
26	27	3
28	29	2
30	31	6
32	33	3
34	35	3
36	31	6
37	38	3
39	40	1
41	42	2
43	44	3
45	46	4
47	48	4
49	50	6
51	52	3
53	54	6
55	56	7
57	58	4
59	31	6
60	61	4
62	63	1
64	31	6
65	66	6
67	68	2
69	70	6
71	72	8
73	74	9
75	76	7
77	78	3
79	80	3
81	82	6
83	84	6
85	86	0
87	19	5
88	19	5
89	27	3
90	91	6
92	93	2
94	95	8
96	97	6
98	99	10
4	5	4
85	31	6
74	73	10
71	78	3
18	31	6
45	91	6
75	76	2
67	91	6
12	19	5
77	27	3
67	19	5
71	31	6
2	19	5
96	19	5
87	31	6
53	1	0
10	31	6
67	68	7
8	19	5
22	19	5
94	19	5
16	19	5
32	50	6
73	19	5
26	31	6
28	19	5
57	19	5
34	31	6
22	23	4
45	68	7
64	72	8
51	19	5
37	84	6
28	31	6
69	19	5
67	9	3
37	80	3
0	19	5
74	19	5
79	70	4
6	3	1
49	27	3
75	19	5
90	19	5
65	19	5
55	56	4
41	31	6
92	19	5
49	19	5
83	19	5
60	19	5
79	70	6
99	31	6
26	19	5
75	31	6
51	31	7
36	19	5
39	91	6
24	25	2
81	19	5
37	19	5
57	27	3
92	1	0
45	19	5
28	72	8
77	19	5
10	19	5
24	19	5
24	97	6
79	19	5
51	31	6
2	66	6
59	19	5
88	82	6
100	19	5
71	19	5
22	23	7
89	19	5
45	31	6
6	19	5
92	91	6
99	98	9
12	13	2
24	25	7
14	19	5
64	19	5
12	13	7
41	19	5
94	66	6
43	19	5
30	19	5
34	19	5
47	31	6
12	66	6
14	31	6
